"Name","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Johnny Cueto","7.49","2.64","2.84","0.91","20.2 %","7.1 %","13.1 %",".231","1.17",".271","76.9 %","79","93","96","3.21","3.81","-0.60","3.83","3.82","6893"
"Fred Norman","5.91","3.63","1.63","0.87","15.5 %","9.5 %","6.0 %",".237","1.31",".263","75.3 %","94","104","","3.43","3.82","-0.39","","","1009632"
"Junior Thompson","4.15","3.99","1.04","0.41","10.7 %","10.3 %","0.4 %",".235","1.34",".257","70.0 %","94","102","","3.41","3.82","-0.41","","","1013017"
"Ken Raffensberger","3.09","1.84","1.68","0.94","8.2 %","4.9 %","3.3 %",".265","1.26",".269","71.9 %","90","94","","3.64","3.84","-0.20","","","1010646"
"John Smiley","6.51","2.23","2.92","0.94","17.2 %","5.9 %","11.3 %",".265","1.29",".302","68.6 %","99","90","","4.16","3.84","0.31","","","1012084"
"Al Hollingsworth","3.82","3.44","1.11","0.29","9.6 %","8.6 %","1.0 %",".266","1.45",".291","64.9 %","109","98","","4.17","3.86","0.31","","","1005955"
"Paul Moskau","5.45","3.51","1.55","0.84","14.1 %","9.1 %","5.0 %",".256","1.38",".283","72.8 %","110","105","","4.07","3.90","0.17","","","1009245"
"Larry Benton","1.88","2.03","0.92","0.35","4.8 %","5.2 %","-0.4 %",".296","1.44",".305","63.1 %","108","98","","4.20","3.90","0.30","","","1000855"
"Ted Power","5.74","3.68","1.56","0.79","14.9 %","9.6 %","5.4 %",".250","1.37",".280","72.6 %","97","100","","3.80","3.92","-0.12","","","1010504"
"Brooks Lawrence","4.09","2.92","1.40","0.94","10.7 %","7.7 %","3.1 %",".258","1.33",".271","70.5 %","100","97","","4.06","3.94","0.12","","","1007398"
"Howie Fox","2.77","3.47","0.80","0.56","7.1 %","8.9 %","-1.8 %",".268","1.44",".278","66.0 %","110","99","","4.33","3.95","0.38","","","1004278"
"Si Johnson","3.25","2.83","1.15","0.43","8.3 %","7.3 %","1.1 %",".270","1.40",".287","62.6 %","112","102","","4.28","3.96","0.32","","","1006502"
"John Tsitouris","6.11","3.33","1.84","1.08","15.8 %","8.6 %","7.2 %",".245","1.32",".270","73.1 %","107","115","","3.83","4.01","-0.18","","","1013208"
"Peaches Davis","2.04","2.29","0.89","0.43","5.3 %","5.9 %","-0.7 %",".288","1.41",".296","67.3 %","103","103","","3.87","4.02","-0.15","","","1003073"
"Jim McGlothlin","4.23","3.13","1.35","0.95","11.1 %","8.2 %","2.9 %",".261","1.36",".275","73.5 %","110","117","","3.89","4.02","-0.13","","","1008532"
"Ray Kolp","2.23","2.14","1.04","0.51","5.9 %","5.6 %","0.2 %",".279","1.35",".287","67.2 %","98","101","","3.85","4.07","-0.22","","","1007088"
"Mike LaCoss","3.03","3.66","0.83","0.56","7.7 %","9.3 %","-1.6 %",".283","1.53",".297","67.8 %","121","111","","4.39","4.07","0.32","","","1007240"
"Elton Chamberlain","3.11","4.07","0.76","0.23","","","",".270","1.49",".291","58.1 %","97","97","","4.00","4.07","-0.07","","","1002122"
"Homer Bailey","7.41","2.99","2.48","1.04","19.2 %","7.8 %","11.5 %",".261","1.35",".304","70.8 %","109","100","100","4.42","4.08","0.34","3.98","4.05","8362"
"Gene Schott","2.98","3.39","0.88","0.34","7.7 %","8.7 %","-1.0 %",".254","1.38",".270","65.9 %","97","104","","3.70","4.10","-0.40","","","1011607"
"Aaron Harang","7.54","2.37","3.19","1.24","19.6 %","6.2 %","13.5 %",".267","1.33",".308","73.2 %","97","92","91","4.28","4.11","0.17","3.95","3.93","1451"
"Benny Frey","1.39","2.03","0.69","0.42","3.6 %","5.2 %","-1.6 %",".296","1.44",".299","63.3 %","113","102","","4.48","4.17","0.31","","","1004342"
"Mike Leake","6.14","2.28","2.70","1.10","16.3 %","6.0 %","10.2 %",".262","1.27",".290","74.6 %","99","106","99","3.87","4.18","-0.31","3.78","3.94","10130"
"Tom Browning","4.70","2.38","1.97","1.10","12.4 %","6.3 %","6.1 %",".256","1.27",".270","72.9 %","102","108","","3.92","4.20","-0.28","","","1001566"
"Frank Dwyer","1.46","2.22","0.66","0.35","","","",".296","1.43",".301","60.8 %","83","95","","3.78","4.25","-0.47","","","1003607"
"Harry Perkowski","3.71","4.14","0.90","0.86","9.4 %","10.5 %","-1.1 %",".263","1.48",".274","70.4 %","105","105","","4.31","4.31","0.00","","","1010195"
"Scott Sullivan","7.66","3.41","2.25","1.07","20.0 %","8.9 %","11.1 %",".234","1.27",".273","74.1 %","89","96","106","3.91","4.31","-0.40","4.51","3.82","357"
"Johnny Klippstein","4.83","4.07","1.19","1.05","12.3 %","10.3 %","1.9 %",".257","1.45",".273","72.0 %","105","106","","4.27","4.33","-0.06","","","1007013"
"Elmer Dessens","5.19","2.51","2.07","1.12","13.7 %","6.6 %","7.1 %",".271","1.34",".292","75.6 %","88","98","101","3.94","4.41","-0.47","4.25","4.46","317"
"Brett Tomko","6.88","3.03","2.27","1.19","18.1 %","8.0 %","10.1 %",".244","1.28",".273","70.2 %","99","98","","4.35","4.41","-0.06","","","1056"
"Tony Cloninger","4.70","4.75","0.99","0.91","11.9 %","12.1 %","-0.1 %",".238","1.44",".253","70.2 %","118","126","","4.31","4.45","-0.14","","","1002359"
"Whitey Moore","4.08","5.05","0.81","0.45","10.3 %","12.8 %","-2.5 %",".232","1.44",".252","71.5 %","100","116","","3.74","4.46","-0.73","","","1009131"
"Frank Foreman","2.16","3.63","0.60","0.28","","","",".281","1.51",".294","59.3 %","94","103","","4.01","4.52","-0.51","","","1004229"
"Danny Graves","4.76","2.93","1.62","1.03","12.4 %","7.6 %","4.8 %",".266","1.37",".284","73.3 %","90","101","103","3.94","4.57","-0.63","4.43","4.47","326"
"Bronson Arroyo","5.91","2.31","2.56","1.41","15.6 %","6.1 %","9.5 %",".261","1.28",".279","74.8 %","100","110","105","4.18","4.70","-0.51","4.37","4.41","978"
"Pete Harnisch","5.73","2.89","1.98","1.27","15.1 %","7.6 %","7.5 %",".246","1.27",".262","75.2 %","86","102","","3.89","4.72","-0.83","","","1005374"
"Herm Wehmeier","3.96","4.89","0.81","1.09","9.8 %","12.1 %","-2.3 %",".268","1.60",".276","68.3 %","130","121","","5.25","4.92","0.33","","","1013729"
"Tom Parrott","1.87","3.37","0.56","0.35","","","",".319","1.69",".329","53.7 %","102","96","","5.23","4.95","0.28","","","1010025"
