"Name","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Jay Bruce","CF","285.1","","","3","0","3","6","61","58",".951","19","","","","0","1.6","","2.3","-0.3","3.6","16.6","4.1","9892"
"Ryan Freel","3B","716.2","","0","","-2","10","6","174","128",".736","49","","","","","","0.9","4.1","-2.2","2.8","4.8","4.1","1207"
"Norris Hopper","CF","468.1","","","2","-1","-1","0","139","126",".907","19","","","","","-0.3","","2.9","0.5","3.1","8.4","3.9","2450"
"Ramon Cabrera","C","437.1","0","","","0","","1","","","","","","","","-3","","","","","","","3.7","10327"
"Jose Peraza","2B","674.2","","1","","1","0","2","166","133",".801","33","","","","0","","1.7","0.0","0.8","2.6","5.5","3.7","13593"
"Brandon Larson","LF","82.0","","","0","0","0","0","14","7",".500","2","","","","","1.7","","2.3","0.2","4.2","54.7","3.7","336"
"Laynce Nix","RF","83.1","","","0","0","2","2","15","15","1.000","4","","","","0","0.8","","3.0","0.1","3.9","83.1","3.5","1766"
"Barry Larkin","SS","2244.2","","-2","","1","-11","-12","328","274",".835","51","","","","","","-3.0","-9.9","4.8","-8.1","-4.5","3.5","335"
"Edgar Renteria","SS","628.0","","-1","","0","3","2","195","161",".826","30","","","","-8","","-0.6","2.7","-1.9","0.2","0.5","3.4","1178"
"Ivan De Jesus","2B","244.0","","0","","-2","2","0","72","58",".806","15","","","","-1","","-0.2","1.7","1.4","2.9","15.2","3.3","9886"
"Kristopher Negron","2B","163.0","","0","","1","4","5","50","43",".860","7","","","","0","","0.3","1.8","0.9","3.0","23.2","3.3","5306"
"Jose Peraza","SS","672.1","","-2","","-3","-5","-10","171","130",".760","44","","","","-1","","-1.4","1.1","-0.2","-0.5","-0.9","3.0","13593"
"Todd Frazier","LF","73.1","","","1","0","3","4","11","10",".909","5","","","","0","0.7","","2.5","0.1","3.3","71.0","2.9","785"
"Reggie Taylor","CF","737.0","","","0","0","0","0","89","71",".798","7","","","","","-0.8","","3.3","-1.1","1.5","2.7","2.8","358"
"Dernell Stenson","LF","131.1","","","-1","0","0","-1","32","20",".625","3","","","","","-1.1","","4.5","-0.1","3.4","25.7","2.7","215"
"Dave Sappelt","LF","194.2","","","0","0","2","2","31","30",".968","14","","","","1","0.0","","3.2","0.3","3.5","23.8","2.5","6898"
"Craig Tatum","C","173.0","0","","","2","","2","","","","","8","0.7","","0","","","","","","","2.2","7468"
"Ivan De Jesus","SS","295.2","","0","","1","-1","0","90","73",".811","14","","","","-4","","-0.7","0.8","0.6","0.7","3.6","2.2","9886"
"Arismendy Alcantara","CF","38.0","","","1","0","1","2","11","11","1.000","3","","","","","1.3","","0.8","0.1","2.1","88.9","2.2","10711"
"Ramon Santiago","SS","145.1","","0","","0","0","0","51","38",".745","7","","","","-1","","0.0","0.0","1.4","1.4","11.1","2.2","1417"
"Ryan Freel","2B","663.2","","-4","","1","4","1","174","153",".879","21","","","","","","-2.3","3.7","-0.4","1.0","2.9","2.1","1207"
"Jason Ellison","LF","30.0","","","0","0","1","1","9","9","1.000","1","","","","","-0.1","","2.3","0.1","2.2","81.2","2.1","1704"
"Norris Hopper","RF","177.2","","","2","1","4","7","51","49",".961","9","","","","","0.9","","1.5","0.5","2.9","17.5","2.0","2450"
"Jerry Hairston","LF","143.1","","","0","0","-1","-1","28","28","1.000","6","","","","0","0.2","","2.3","0.3","2.8","25.3","2.0","144"
"Austin Kearns","LF","84.2","","","0","0","0","0","0","0","","0","","","","","0.8","","1.4","0.2","2.4","42.2","2.0","332"
"Jason Ellison","CF","11.0","","","0","0","1","1","6","6","1.000","2","","","","","0.1","","1.8","0.0","1.9","150.6","1.9","1704"
"Felipe Lopez","3B","240.2","","0","","0","3","3","53","40",".755","9","","","","","","-0.5","3.3","-1.3","1.5","3.8","1.9","1311"
"Jerry Hairston","CF","133.2","","","0","0","1","1","29","26",".897","6","","","","0","-0.1","","1.9","-0.2","1.6","23.0","1.9","144"
"Adam Rosales","SS","33.0","","0","","0","2","2","10","9",".900","1","","","","0","","0.1","1.3","0.3","1.7","63.8","1.8","9682"
"Eric Valent","RF","71.0","","","0","0","1","1","10","9",".900","2","","","","","-1.3","","3.4","0.1","2.2","59.8","1.8","1629"
"Chris Valaika","2B","81.2","","0","","-1","2","1","17","15",".882","4","","","","","","0.5","0.7","0.4","1.6","29.0","1.7","1165"
"Cesar Izturis","2B","107.2","","0","","0","3","3","36","27",".750","3","","","","0","","0.4","0.6","0.5","1.5","18.0","1.7","656"
"Jolbert Cabrera","SS","60.1","","0","","0","1","1","11","10",".909","4","","","","","","0.1","0.9","0.4","1.4","38.4","1.7","373"
"Kristopher Negron","SS","90.1","","-1","","0","0","-1","27","24",".889","8","","","","0","","-0.6","1.7","0.1","1.2","20.6","1.7","5306"
"Roger Bernadina","LF","33.0","","","0","0","2","2","4","4","1.000","2","","","","0","-0.2","","1.9","0.0","1.7","130.8","1.6","6421"
"Chris Valaika","3B","33.0","","0","","0","1","1","12","11",".917","2","","","","","","-0.1","1.0","0.5","1.5","37.6","1.5","1165"
"Stuart Turner","C","177.1","0","","","-2","","-3","","","","","","","","","","","","","","","1.5","15207"
"Buck Coats","LF","24.0","","","0","0","1","1","9","9","1.000","1","","","","","0.9","","0.6","0.1","1.6","40.5","1.5","2945"
"William Bergolla","2B","62.0","","0","","0","1","1","27","23",".852","2","","","","","","0.3","0.5","0.6","1.4","23.0","1.5","2152"
"Rich Aurilia","1B","329.2","","0","","-1","4","3","60","44",".733","9","","","","","","0.8","2.9","0.6","4.3","16.0","1.5","1106"
"Drew Sutton","LF","36.0","","","1","0","1","2","10","10","1.000","1","","","","0","0.1","","1.5","0.1","1.6","41.7","1.5","7430"
"Donald Lutz","LF","109.2","","","1","0","1","2","22","22","1.000","6","","","","0","1.6","","0.2","0.2","2.0","18.5","1.4","10154"
"Kristopher Negron","3B","204.1","","0","","0","2","3","46","28",".609","10","","","","0","","0.2","-0.4","1.2","1.1","9.4","1.4","5306"
"Tony Renda","2B","50.0","","0","","1","1","2","15","12",".800","4","","","","","","","1.7","-0.4","1.3","32.8","1.4","13443"
"Kristopher Negron","CF","29.1","","","1","0","1","2","5","5","1.000","2","","","","0","0.5","","0.7","0.0","1.3","55.3","1.4","5306"
"Dioner Navarro","C","155.1","0","","","0","","0","","","","","5","0.0","","-3","","","","","","","1.4","3179"
"Fred Lewis","LF","315.2","","","-2","1","7","6","49","48",".980","28","","","","0","-1.3","","3.8","0.5","3.0","11.8","1.3","4693"
"Cesar Izturis","SS","165.2","","0","","1","3","4","44","36",".818","6","","","","-1","","-0.4","-0.1","0.9","0.4","4.8","1.3","656"
"Shin-Soo Choo","LF","28.0","","","0","0","0","0","2","2","1.000","2","","","","0","1.5","","-0.1","0.0","1.4","66.6","1.2","3174"
"Drew Sutton","SS","30.1","","0","","1","1","2","17","15",".882","0","","","","0","","0.2","0.4","0.4","1.1","24.9","1.2","7430"
"Jack Hannahan","2B","9.0","","0","","0","1","1","3","3","1.000","2","","","","0","","0.2","1.0","0.1","1.2","161.7","1.2","3692"
"Corey Patterson","CF","798.0","","","0","3","6","9","200","187",".935","55","","","","","0.2","","-0.1","-0.3","-0.2","-0.2","1.2","300"
