"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Champ Summers","3B","1","0","3.0","1","1","0","","","1","","","","","","","","","1.000","0","1012718"
"Glenn Sutko","C","10","3","36.0","19","5","3","","","0","","","","","5","4","1","1",".889","0","1012742"
"Tommy Tatum","2B","1","","","1","0","0","","","0","","","","","","","","","1.000","0","1012844"
"Eddie Taubensee","1B","10","7","57.0","54","2","0","","","6","","","","","","","","","1.000","0","1012845"
"Joe Taylor","RF","8","8","71.0","20","2","1","","","0","","","","","","","","",".957","0","1012880"
"Sammy Taylor","C","2","1","12.0","5","0","1","","","0","","","","","0","0","0","0",".833","0","1012887"
"George Tebeau","1B","1","","","8","0","1","","","1","","","","","","","","",".889","0","1012899"
"Johnny Temple","1B","1","0","0.2","1","1","0","","","1","","","","","","","","","1.000","0","1012910"
"Johnny Temple","RF","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1012910"
"Johnny Temple","SS","1","","","0","0","0","","","0","","","","","","","","",".000","0","1012910"
"Bill Tierney","1B","1","","","10","1","1","","","0","","","","","","","","",".917","0","1013060"
"Ozzie Timmons","LF","1","1","9.0","0","0","1","","","0","","","","","","","","",".000","0","1013072"
"Joe Tinker","3B","9","","","14","17","1","","","0","","","","","","","","",".969","0","1013075"
"Bill Traffley","SS","2","","","0","1","1","","","0","","","","","","","","",".500","0","1013153"
"Jeff Treadway","3B","2","2","14.0","1","1","1","","","1","","","","","","","","",".667","0","1013169"
"Alex Trevino","2B","1","0","1.0","0","1","0","","","0","","","","","","","","","1.000","0","1013180"
"Alex Trevino","3B","6","3","30.2","0","3","0","","","0","","","","","","","","","1.000","0","1013180"
"Manny Trillo","1B","3","0","6.0","6","0","0","","","0","","","","","","","","","1.000","0","1013184"
"Manny Trillo","SS","1","0","6.2","0","0","1","","","0","","","","","","","","",".000","0","1013184"
"Greg Tubbs","LF","11","2","36.1","6","0","0","","","0","","","","","","","","","1.000","0","1013209"
"Ted Uhlaender","CF","2","2","17.0","5","1","1","","","0","","","","","","","","",".857","0","1013264"
"Ted Uhlaender","LF","3","0","3.2","0","1","0","","","0","","","","","","","","","1.000","0","1013264"
